genre_ids,origin_country,original_language,popularity,vote_average,vote_count,year
"[35, 10767]",['US'],en,32.0282,5.4,8,1961.0
"[99, 10759, 80, 18]","['CA', 'US']",en,30.4195,7.1,63,1985.0
"[16, 10759, 10765]",['JP'],ja,32.0238,8.533,8428,2007.0
"[16, 35]",['US'],en,33.1646,8.627,2136,2010.0
[18],['US'],en,30.728,8.485,6457,2023.0
"[18, 35]",['CZ'],cs,33.2375,4.6,33,2005.0
"[16, 35, 18, 10765]",['US'],en,29.5308,7.883,31,2020.0
[18],['IN'],hi,31.5036,6.0,1,2019.0
"[16, 35, 10759]",['JP'],ja,31.8634,8.5,2082,2022.0
"[10759, 18]",['US'],en,31.0327,8.0,984,2022.0
"[18, 10751, 10759]",['US'],en,31.948,8.685,625,2019.0
[10763],['DE'],de,32.1738,6.8,245,1952.0
"[18, 10766]",['DE'],de,32.7504,6.0,38,2005.0
"[35, 18]",['US'],en,29.0134,7.6,1190,2007.0
"[10768, 10759, 18]",['TR'],tr,30.9927,8.0,281,2019.0
"[10759, 18, 10765, 80]",['US'],en,28.592,7.538,1354,1982.0
"[80, 18, 10759]",['US'],en,30.8828,7.4,2487,2015.0
"[16, 10751, 10765, 35]","['DE', 'US', 'IE', 'GB']",en,32.606,8.546,1628,2011.0
[35],['US'],en,31.1262,8.0,832,2000.0
"[18, 80, 10766]",['TR'],tr,31.0494,8.9,22,2023.0
"[10765, 37]",['US'],en,31.9332,8.031,5837,2016.0
"[18, 10765, 10759]",['US'],en,30.3138,7.3,4272,2015.0
"[35, 10767]",['GB'],en,30.1125,7.2,271,2007.0
[18],['IN'],hi,27.6987,0.0,0,2024.0
"[10766, 18]",['IT'],it,29.5079,6.0,1,2001.0
"[16, 10759, 10765]",['CN'],zh,27.3412,8.5,62,2020.0
"[80, 18]",['US'],en,30.4758,7.563,435,2016.0
"[10765, 9648, 18]",['US'],en,31.7909,8.1,1796,2005.0
[16],['JP'],ja,30.0137,7.522,69,2020.0
"[80, 18]",['DE'],de,31.5746,6.0,17,1977.0
[16],['JP'],ja,30.9292,5.9,24,2023.0
"[35, 10759, 16, 10765]",['JP'],ja,27.2663,8.611,1463,1989.0
"[16, 10762]",['GB'],en,29.8325,6.6,708,2004.0
[35],['US'],en,29.5296,6.941,161,2023.0
"[80, 18]",['US'],en,28.8575,8.6,2441,2002.0
[35],['US'],en,36.2921,7.4,54,1975.0
"[16, 10762, 35]",['AU'],en,28.0743,8.609,637,2018.0
"[10759, 18]",['US'],en,27.8995,7.277,75,2025.0
"[10765, 10759, 18]",['KR'],ko,28.0615,7.5,12,2025.0
"[10765, 18, 9648]",['US'],en,30.0787,8.1,2615,2008.0
"[16, 10759, 10765]",['CN'],zh,28.9688,8.9,68,2025.0
"[10765, 10759]",['KR'],ko,29.8219,8.3,1496,2020.0
[],['US'],en,28.1573,5.9,12,1956.0
"[35, 18]",['US'],en,28.0069,7.3,607,2013.0
"[10766, 18, 10751]",['US'],en,28.5246,6.8,223,1978.0
"[10759, 18, 10768]",['US'],en,28.7655,8.036,1576,2017.0
