popularity,vote_count,year,genre_cluster_0,genre_cluster_1,genre_cluster_2,genre_cluster_3,genre_cluster_4,genre_cluster_5,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,lang_macroarea_Africa,lang_macroarea_Eurasia,lang_macroarea_North America,lang_macroarea_Papunesia,lang_macroarea_South America,vote_average
12.1394,24,1999.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.5
3.1583,21,2024.0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,6.4
4.3091,135,2020.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.5
12.0809,18,1961.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5.5
3.4043,3,2017.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.0
4.5792,2,1959.0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,5.5
5.2491,0,1996.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0
3.2289,404,2007.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.2
2.8318,98,2012.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.051
5.1279,74,2016.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.2
2.7294,32,2022.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.8
23.7733,37,2015.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.5
3.452,134,2013.0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,7.3
9.193,912,2021.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.8
2.5917,46,2012.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.2
8.5173,19,1982.0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,6.1
7.2097,0,2015.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
3.6584,1,2008.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7.0
9.5154,479,2020.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.234
4.4667,15,2014.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4.3
2.9654,1,1976.0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,8.0
3.9029,14,1998.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,6.0
4.8095,5,2024.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5.8
20.3476,794,2016.0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,8.003
4.2196,79,2019.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.0
4.5341,1,1994.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,9.0
4.3292,21,2004.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5.7
14.6726,0,2018.0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
3.3306,5,1980.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.0
4.2588,2,2025.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10.0
9.6294,279,2011.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.448
7.0131,59,2023.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,7.7
3.3147,11,2014.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.8
3.695,275,2022.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.389
5.1068,96,2023.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.2
4.731,27,2023.0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.0
7.7621,120,2016.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.7
3.8483,249,2019.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.484
4.766,8,2008.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4.6
4.7533,17,2022.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.1
7.3801,0,2003.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
2.8615,1,2019.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2.0
5.6396,29,2014.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,8.0
16.9541,87,1966.0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,7.2
4.8913,273,2024.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.8
4.1978,9,1985.0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,5.4
7.4618,49,2014.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.7
3.592,18,1997.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,5.6
3.913,0,2016.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
3.2668,4,2015.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.8
4.5478,114,2015.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.276
9.017,42,2023.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.3
8.6567,209,2012.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.6
4.8942,0,2011.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0
7.1267,4,2013.0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,5.2
5.4131,2,1956.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8.0
5.1261,10,2016.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.9
7.0036,8,2019.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7.4
6.3267,13,1998.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.9
24.2701,23,2015.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,7.2
4.8798,3,2019.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9.3
12.6143,88,1996.0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,5.4
3.0827,94,2017.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.0
2.7342,120,2025.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,8.1
22.7048,1684,2014.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.835
9.3384,4,2011.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6.8
3.4496,31,1985.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.8
10.1925,79,2010.0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,7.8
3.2635,1,2021.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.0
5.5545,27,2012.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.0
4.273,39,2015.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.2
6.1238,68,1996.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.0
3.3731,11,2001.0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,6.7
8.9754,208,2022.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.0
2.999,1,2016.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5.5
4.0252,6,2023.0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,8.3
3.5739,3,2012.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,6.3
13.7225,82,2020.0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7.4
3.199,1,2025.0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7.0
25.692,58,1963.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.2
10.3929,79,1990.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,8.7
2.7678,14,1993.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.5
3.8592,0,2019.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
12.6999,23,1965.0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5.391
2.6649,1,2013.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8.0
3.4701,3,1997.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6.0
9.597,136,2022.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.9
4.9251,3,1975.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,3.7
3.1445,30,2021.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.4
6.5389,4,1999.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.5
7.2531,19,1965.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.3
3.5656,22,2025.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.4
6.1215,2,2014.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5
5.4162,650,2008.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.5
10.7668,305,2008.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.8
3.002,13,1989.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.0
2.688,0,2013.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0.0
5.8377,7,1961.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,6.9
2.9993,7,1994.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9.1
16.2915,578,2013.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,8.0
4.493,3,2016.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5.7
4.4814,1,2019.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10.0
4.5326,8,2024.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.875
11.3845,146,2017.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.7
9.1738,834,2004.0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,7.6
3.5951,54,2007.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.1
5.1123,78,2025.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.776
6.8014,49,2013.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.8
5.4404,4,1965.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,6.8
3.7811,0,1971.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
5.2567,23,2024.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.565
6.2725,789,2006.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.2
3.1373,0,2013.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
5.2144,44,2020.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.943
